日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2002-04-09,10.51,10.88,10.51,10.66,3.36,46.03,4141088,441882,5.07,69.02
2002-04-10,10.66,10.7,10.39,10.6,-0.06,-0.56,679455,71668,2.91,11.32
2002-04-11,10.6,10.68,10.49,10.52,-0.08,-0.75,227883,24096,1.79,3.8
2002-04-12,10.5,10.64,10.48,10.57,0.05,0.48,212565,22406,1.52,3.54
2002-04-15,10.57,10.6,10.35,10.39,-0.18,-1.7,185311,19331,2.37,3.09
2002-04-16,10.35,10.39,10.14,10.16,-0.23,-2.21,249255,25494,2.41,4.15
2002-04-17,10.15,10.26,10.09,10.22,0.06,0.59,114593,11655,1.67,1.91
2002-04-18,10.2,10.2,10.1,10.12,-0.1,-0.98,85333,8644,0.98,1.42
2002-04-19,10.1,10.15,9.99,10.14,0.02,0.2,157222,15778,1.58,2.62
2002-04-22,10.1,10.1,9.99,10.01,-0.13,-1.28,65938,6611,1.09,1.1
2002-04-23,10.0,10.09,9.91,10.0,-0.01,-0.1,73765,7376,1.8,1.23
2002-04-24,10.0,10.0,9.7,9.77,-0.23,-2.3,172414,16955,3.0,2.87
2002-04-25,9.75,9.85,9.74,9.81,0.04,0.41,99603,9742,1.13,1.66
2002-04-26,9.82,9.89,9.8,9.84,0.03,0.31,81692,8038,0.92,1.36
2002-04-29,9.84,9.88,9.71,9.85,0.01,0.1,90361,8854,1.73,1.51
2002-04-30,9.89,10.15,9.8,10.02,0.17,1.73,182625,18270,3.55,3.04
2002-05-08,10.0,10.03,9.88,9.9,-0.12,-1.2,42284,4199,1.5,0.7
2002-05-09,9.89,10.08,9.88,9.94,0.04,0.4,44704,4455,2.02,0.75
2002-05-10,9.91,9.93,9.8,9.81,-0.13,-1.31,46385,4567,1.31,0.77
2002-05-13,9.8,9.8,9.58,9.62,-0.19,-1.94,127255,12260,2.24,2.12
2002-05-14,9.6,9.64,9.46,9.48,-0.14,-1.46,82399,7866,1.87,1.37
2002-05-15,9.46,9.55,9.28,9.29,-0.19,-2.0,97084,9121,2.85,1.62
2002-05-16,9.28,9.28,9.07,9.15,-0.14,-1.51,195171,17831,2.26,3.25
2002-05-17,9.18,9.3,9.05,9.25,0.1,1.09,100101,9183,2.73,1.67
2002-05-20,9.13,9.18,8.93,8.98,-0.27,-2.92,112971,10167,2.7,1.88
2002-05-21,9.18,9.25,9.03,9.18,0.2,2.23,126084,11552,2.45,2.1
2002-05-22,9.19,9.2,8.91,8.94,-0.24,-2.61,73384,6604,3.16,1.22
2002-05-23,8.95,9.13,8.94,8.98,0.04,0.45,71889,6475,2.13,1.2
2002-05-24,8.98,9.04,8.76,8.87,-0.11,-1.22,105260,9294,3.12,1.75
2002-05-27,8.89,8.95,8.78,8.91,0.04,0.45,54394,4816,1.92,0.91
2002-05-28,8.91,8.99,8.9,8.92,0.01,0.11,56077,5018,1.01,0.93
2002-05-29,8.92,8.94,8.62,8.67,-0.25,-2.8,74802,6540,3.59,1.25
2002-05-30,8.66,8.78,8.52,8.75,0.08,0.92,131798,11365,3.0,2.2
2002-05-31,8.73,8.86,8.66,8.7,-0.05,-0.57,46692,4094,2.29,0.78
2002-06-04,8.63,9.0,8.54,8.86,0.16,1.84,213158,18820,5.29,3.55
2002-06-05,9.22,9.22,8.72,8.74,-0.12,-1.35,91495,8100,5.64,1.52
2002-06-06,8.74,9.08,8.68,9.0,0.26,2.97,125310,11201,4.58,2.09
2002-06-07,9.01,9.06,8.9,8.98,-0.02,-0.22,117607,10577,1.78,1.96
2002-06-10,8.98,9.06,8.93,8.99,0.01,0.11,49101,4421,1.45,0.82
2002-06-11,8.99,9.01,8.92,8.94,-0.05,-0.56,28482,2552,1.0,0.47
2002-06-12,9.0,9.0,8.8,8.87,-0.07,-0.78,30368,2691,2.24,0.51
2002-06-13,8.87,8.87,8.75,8.76,-0.11,-1.24,28615,2518,1.35,0.48
2002-06-14,8.75,8.75,8.67,8.68,-0.08,-0.91,29395,2558,0.91,0.49
2002-06-17,8.65,8.66,8.58,8.66,-0.02,-0.23,30368,2618,0.92,0.51
2002-06-18,8.66,8.85,8.65,8.81,0.15,1.73,53176,4662,2.31,0.89
2002-06-19,8.81,8.82,8.65,8.68,-0.13,-1.48,27745,2417,1.93,0.46
2002-06-20,8.68,8.83,8.67,8.73,0.05,0.58,41083,3604,1.84,0.68
2002-06-21,8.75,9.09,8.72,8.97,0.24,2.75,149474,13391,4.24,2.49
2002-06-24,9.87,9.87,9.51,9.87,0.9,10.03,950650,93430,4.01,15.84
2002-06-25,9.99,10.85,9.81,10.45,0.58,5.88,1495150,156327,10.54,24.92
2002-06-26,10.35,10.6,10.15,10.23,-0.22,-2.11,419637,43623,4.31,6.99
2002-06-27,10.23,10.6,10.18,10.5,0.27,2.64,414427,43103,4.11,6.91
2002-06-28,10.51,11.55,10.51,11.55,1.05,10.0,1560154,178513,9.91,26.0
2002-07-01,11.7,11.84,11.4,11.58,0.03,0.26,905836,105042,3.81,15.1
2002-07-02,11.55,11.56,11.18,11.44,-0.14,-1.21,379553,43151,3.28,6.33
2002-07-03,11.4,11.69,11.31,11.47,0.03,0.26,256837,29501,3.32,4.28
2002-07-04,11.5,11.58,10.94,11.11,-0.36,-3.14,419517,46944,5.58,6.99
2002-07-05,11.0,11.34,10.92,11.3,0.19,1.71,337472,37513,3.78,5.62
2002-07-08,11.19,11.7,11.19,11.34,0.04,0.35,419316,48222,4.51,6.99
2002-07-09,11.35,11.73,11.35,11.65,0.31,2.73,539129,62523,3.35,8.99
2002-07-10,11.65,11.92,11.29,11.31,-0.34,-2.92,1036686,120357,5.41,15.86
2002-07-11,11.22,11.4,11.15,11.19,-0.12,-1.06,313054,35257,2.21,4.79
2002-07-12,11.19,11.25,10.98,11.03,-0.16,-1.43,324937,35902,2.41,4.97
2002-07-15,11.0,11.05,10.75,10.84,-0.19,-1.72,234483,25452,2.72,3.59
2002-07-16,10.87,11.05,10.79,10.86,0.02,0.18,185946,20355,2.4,2.84
2002-07-17,10.88,11.04,10.79,11.03,0.17,1.57,84800,9231,2.3,1.3
2002-07-18,11.09,11.22,10.98,11.1,0.07,0.63,200921,22375,2.18,3.07
2002-07-19,11.15,11.19,11.0,11.14,0.04,0.36,96842,10753,1.71,1.48
2002-07-22,11.16,11.16,10.66,10.69,-0.45,-4.04,215105,23301,4.49,3.29
2002-07-23,10.65,11.04,10.61,10.79,0.1,0.94,186667,20230,4.02,2.86
2002-07-24,10.75,10.93,10.69,10.78,-0.01,-0.09,80159,8661,2.22,1.23
2002-07-25,10.75,10.85,10.59,10.66,-0.12,-1.11,104706,11164,2.41,1.6
2002-07-26,10.68,10.74,10.6,10.62,-0.04,-0.38,76788,8192,1.31,1.17
2002-07-29,10.6,10.7,10.5,10.69,0.07,0.66,87369,9250,1.88,1.34
2002-07-30,10.75,11.15,10.69,10.95,0.26,2.43,330970,36170,4.3,5.06
2002-07-31,10.89,11.05,10.65,10.7,-0.25,-2.28,146379,15911,3.65,2.24
2002-08-01,10.69,10.81,10.59,10.73,0.03,0.28,65011,6944,2.06,0.99
2002-08-02,10.76,10.8,10.65,10.73,0.0,0.0,37555,4026,1.4,0.57
2002-08-05,10.73,10.73,10.51,10.52,-0.21,-1.96,58496,6192,2.05,0.89
2002-08-06,10.5,10.83,10.36,10.56,0.04,0.38,131368,13943,4.47,2.01
2002-08-07,10.56,10.69,10.52,10.6,0.04,0.38,80282,8504,1.61,1.23
2002-08-08,10.65,10.85,10.62,10.65,0.05,0.47,144101,15475,2.17,2.2
2002-08-09,10.6,10.66,10.53,10.53,-0.12,-1.13,109416,11583,1.22,1.67
2002-08-12,10.32,10.44,10.24,10.34,-0.19,-1.8,605205,62402,1.9,7.69
2002-08-13,10.34,10.51,10.28,10.34,0.0,0.0,158779,16496,2.22,2.02
2002-08-14,10.36,10.5,10.36,10.46,0.12,1.16,86809,9068,1.35,1.1
2002-08-15,10.46,10.52,10.39,10.44,-0.02,-0.19,63829,6677,1.24,0.81
2002-08-16,10.42,10.55,10.29,10.44,0.0,0.0,128143,13381,2.49,1.63
2002-08-19,10.46,10.68,10.36,10.56,0.12,1.15,112279,11880,3.07,1.43
2002-08-20,10.57,11.04,10.57,10.92,0.36,3.41,381492,41459,4.45,4.84
2002-08-21,10.93,11.02,10.86,10.87,-0.05,-0.46,162160,17736,1.47,2.06
2002-08-22,10.88,11.02,10.84,10.89,0.02,0.18,215196,23524,1.66,2.73
2002-08-23,10.89,11.05,10.87,10.92,0.03,0.28,136801,14988,1.65,1.74
2002-08-26,10.92,10.96,10.73,10.76,-0.16,-1.47,105065,11357,2.11,1.33
2002-08-27,10.73,10.95,10.71,10.8,0.04,0.37,114816,12413,2.23,1.46
2002-08-28,10.8,10.95,10.75,10.84,0.04,0.37,86611,9386,1.85,1.1
2002-08-29,10.84,10.95,10.77,10.79,-0.05,-0.46,74633,8079,1.66,0.95
