,trade_date,open,close,high,low,pre_close,change,pct_chg,ts_code
0,20200609,24906.01,25057.22,25253.67,24837.73,24776.77,280.45,1.1319,HSI
1,20200608,25018.05,24776.77,25018.78,24678.55,24770.41,6.36,0.0257,HSI
2,20200605,,24366.3,,,24366.3,0.0,,HSI
3,20200604,24643.84,24366.3,24643.84,24204.1,24325.62,40.68,0.1672,HSI
4,20200603,24303.56,24325.62,24364.01,24219.96,23995.94,329.68,1.3739,HSI
5,20200602,23792.24,23995.94,23995.94,23766.15,23732.52,263.42,1.11,HSI
6,20200601,23539.91,23732.52,23806.32,23539.91,22961.47,771.05,3.358,HSI
7,20200529,22781.11,22961.47,23089.77,22781.11,23132.76,-171.29,-0.7405,HSI
8,20200528,23206.75,23132.76,23451.78,22779.62,23301.36,-168.6,-0.7236,HSI
9,20200527,23515.14,23301.36,23515.14,23134.61,23384.66,-83.3,-0.3562,HSI
10,20200526,23198.34,23384.66,23481.48,23165.49,22952.24,432.42,1.884,HSI
11,20200525,22725.7,22952.24,22968.65,22519.73,22930.14,22.1,0.0964,HSI
12,20200522,23756.91,22930.14,23756.91,22878.26,24280.03,-1349.89,-5.5597,HSI
13,20200521,24528.91,24280.03,24528.91,24208.16,24399.95,-119.92,-0.4915,HSI
14,20200520,24462.9,24399.95,24514.87,24315.75,24388.13,11.82,0.0485,HSI
15,20200519,24489.55,24388.13,24552.55,24314.45,23934.77,453.36,1.8941,HSI
16,20200518,23736.67,23934.77,23952.05,23722.17,23797.47,137.3,0.577,HSI
17,20200515,23834.68,23797.47,23985.12,23671.61,23829.74,-32.27,-0.1354,HSI
18,20200514,24038.07,23829.74,24081.19,23790.27,24180.3,-350.56,-1.4498,HSI
19,20200513,24111.67,24180.3,24320.2,23979.37,24245.68,-65.38,-0.2697,HSI
20,20200512,24358.0,24245.68,24411.04,24136.2,24602.06,-356.38,-1.4486,HSI
21,20200511,24470.18,24602.06,24766.83,24470.18,24230.17,371.89,1.5348,HSI
22,20200508,24193.36,24230.17,24263.73,24097.12,23980.63,249.54,1.0406,HSI
23,20200507,24120.81,23980.63,24120.81,23913.5,24137.48,-156.85,-0.6498,HSI
24,20200506,23868.02,24137.48,24235.03,23868.02,23868.66,268.82,1.1262,HSI
25,20200430,,24643.59,,,24643.59,0.0,,HSI
26,20200429,24786.02,24643.59,24855.47,24549.62,24575.96,67.63,0.2752,HSI
27,20200428,24401.12,24575.96,24582.66,24176.88,24280.14,295.82,1.2184,HSI
28,20200427,24030.66,24280.14,24318.81,24030.54,23831.33,448.81,1.8833,HSI
29,20200424,23844.55,23831.33,23957.17,23730.49,23977.32,-145.99,-0.6089,HSI
30,20200423,23983.65,23977.32,24107.88,23806.3,23893.36,83.96,0.3514,HSI
31,20200422,23540.54,23893.36,23939.29,23483.31,23793.55,99.81,0.4195,HSI
32,20200421,24247.84,23793.55,24247.84,23676.13,24330.02,-536.47,-2.205,HSI
33,20200420,24503.56,24330.02,24503.56,24225.55,24380.0,-49.98,-0.205,HSI
34,20200417,24457.83,24380.0,24666.64,24308.78,24006.45,373.55,1.556,HSI
35,20200416,24025.45,24006.45,24102.91,23854.79,24145.34,-138.89,-0.5752,HSI
36,20200415,24499.86,24145.34,24603.6,24090.5,24435.4,-290.06,-1.187,HSI
37,20200414,24347.61,24435.4,24546.39,24283.13,24300.33,135.07,0.5558,HSI
38,20200413,,24300.33,,,24300.33,0.0,,HSI
39,20200410,,24300.33,,,24300.33,0.0,,HSI
40,20200409,24181.32,24300.33,24308.69,24045.18,23970.37,329.96,1.3765,HSI
41,20200408,24191.32,23970.37,24191.32,23897.4,24253.29,-282.92,-1.1665,HSI
42,20200407,24093.05,24253.29,24262.01,23796.03,23749.12,504.17,2.1229,HSI
43,20200403,23072.95,23236.11,23236.11,23030.58,23280.06,-43.95,-0.1888,HSI
44,20200402,22838.67,23280.06,23280.06,22756.13,23085.79,194.27,0.8415,HSI
45,20200401,23365.9,23085.79,23540.01,22947.64,23603.48,-517.69,-2.1933,HSI
46,20200331,23613.27,23603.48,23627.53,23238.04,23175.11,428.37,1.8484,HSI
47,20200330,23020.85,23175.11,23491.51,22973.33,23484.28,-309.17,-1.3165,HSI
48,20200327,23768.41,23484.28,23791.2,23354.01,23352.34,131.94,0.565,HSI
49,20200326,23604.83,23352.34,23604.83,23163.67,23527.19,-174.85,-0.7432,HSI
50,20200325,23255.91,23527.19,23569.45,23062.23,22663.49,863.7,3.811,HSI
51,20200324,22497.57,22663.49,22753.01,22383.25,21696.13,967.36,4.4587,HSI
52,20200323,21659.55,21696.13,22064.31,21659.55,22805.07,-1108.94,-4.8627,HSI
53,20200320,22147.34,22805.07,22805.07,22147.34,21709.13,1095.94,5.0483,HSI
54,20200319,22221.38,21709.13,22380.34,21139.26,22291.82,-582.69,-2.6139,HSI
55,20200318,23023.34,22291.82,23425.03,22167.42,23263.73,-971.91,-4.1778,HSI
56,20200317,23001.76,23263.73,23401.2,22676.46,23063.57,200.16,0.8679,HSI
57,20200316,23317.81,23063.57,23631.53,22842.25,24032.91,-969.34,-4.0334,HSI
58,20200313,22519.32,24032.91,24184.48,22519.32,24309.07,-276.16,-1.136,HSI
59,20200312,24657.67,24309.07,24657.67,24117.94,25231.61,-922.54,-3.6563,HSI
60,20200311,25459.96,25231.61,25493.23,25140.38,25392.51,-160.9,-0.6337,HSI
61,20200310,25285.68,25392.51,25578.61,24978.97,25040.46,352.05,1.4059,HSI
62,20200309,25134.02,25040.46,25321.28,24948.38,26146.67,-1106.21,-4.2308,HSI
63,20200306,26397.78,26146.67,26408.8,26084.23,26767.87,-621.2,-2.3207,HSI
64,20200305,26348.16,26767.87,26805.58,26315.36,26222.07,545.8,2.0815,HSI
65,20200304,26321.56,26222.07,26372.48,26038.39,26284.82,-62.75,-0.2387,HSI
66,20200303,26419.13,26284.82,26527.75,26233.39,26291.68,-6.86,-0.0261,HSI
67,20200302,26077.73,26291.68,26375.91,26077.73,26129.93,161.75,0.619,HSI
68,20200228,26249.06,26129.93,26313.55,25989.41,26778.62,-648.69,-2.4224,HSI
69,20200227,26529.17,26778.62,26849.57,26419.97,26696.49,82.13,0.3076,HSI
70,20200226,26479.9,26696.49,26776.06,26479.9,26893.23,-196.74,-0.7316,HSI
71,20200225,26722.39,26893.23,26914.05,26667.04,26820.88,72.35,0.2698,HSI
72,20200224,27105.35,26820.88,27105.35,26813.22,27308.81,-487.93,-1.7867,HSI
73,20200221,27450.46,27308.81,27484.53,27264.78,27609.16,-300.35,-1.0879,HSI
74,20200220,27767.28,27609.16,27767.28,27383.13,27655.81,-46.65,-0.1687,HSI
75,20200219,27486.46,27655.81,27697.46,27448.6,27530.2,125.61,0.4563,HSI
76,20200218,27766.5,27530.2,27771.3,27496.25,27959.6,-429.4,-1.5358,HSI
77,20200217,27766.71,27959.6,28055.58,27766.71,27815.6,144.0,0.5177,HSI
78,20200214,27698.56,27815.6,27960.66,27695.59,27730.0,85.6,0.3087,HSI
79,20200213,27953.65,27730.0,27953.65,27695.6,27823.66,-93.66,-0.3366,HSI
80,20200212,27717.22,27823.66,27892.48,27614.83,27583.88,239.78,0.8693,HSI
81,20200211,27514.25,27583.88,27674.81,27436.99,27241.34,342.54,1.2574,HSI
82,20200210,27092.15,27241.34,27314.64,27044.88,27404.27,-162.93,-0.5945,HSI
83,20200207,27356.28,27404.27,27410.58,27224.12,27493.7,-89.43,-0.3253,HSI
84,20200206,27174.53,27493.7,27608.22,27029.49,26786.74,706.96,2.6392,HSI
85,20200205,26869.32,26786.74,26926.12,26641.92,26675.98,110.76,0.4152,HSI
86,20200204,26491.66,26675.98,26730.26,26491.66,26356.98,319.0,1.2103,HSI
87,20200203,26189.61,26356.98,26512.58,26145.59,26312.63,44.35,0.1686,HSI
88,20200123,28109.75,27909.12,28133.03,27706.37,28341.04,-431.92,-1.524,HSI
89,20200122,28116.5,28341.04,28393.93,27937.68,27985.33,355.71,1.2711,HSI
90,20200121,28449.38,27985.33,28492.03,27980.5,28795.91,-810.58,-2.8149,HSI
91,20200120,29169.12,28795.91,29174.92,28795.42,29056.42,-260.51,-0.8966,HSI
92,20200117,28988.16,29056.42,29101.15,28813.13,28883.04,173.38,0.6003,HSI
93,20200116,28806.12,28883.04,28987.73,28709.57,28773.59,109.45,0.3804,HSI
94,20200115,28891.07,28773.59,28972.68,28619.1,28885.14,-111.55,-0.3862,HSI
