,indexID,ticker,porgFullName,secShortName,exchangeCD,tradeDate,preCloseIndex,openIndex,lowestIndex,highestIndex,closeIndex,turnoverVol,turnoverValue,CHG,CHGPct
0,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/6/1,1000,986.015,948.118,994.793,973.233,135628510,4924176839,-26.767,-0.026767
1,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/6/2,973.233,967.609,952.611,997.119,997.119,107462758,4001206161,23.886,0.024543
2,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/6/3,997.119,1002.355,997.775,1026.702,998.394,161680539,6240835496,1.275,0.001279
3,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/6/4,998.394,989.681,986.504,1027.681,1027.681,150029501,5269440644,29.287,0.029334
4,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/6/7,1027.681,1005.028,1001.702,1075.225,1069.468,265527537,9106094723,41.787,0.040661
5,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/6/8,1069.468,1067.324,1050.965,1075.503,1067.154,197672078,6621994295,-2.314,-0.002164
6,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/6/9,1067.154,1070.852,1069.431,1102.098,1077.823,254156809,8994866396,10.669,0.009998
7,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/6/10,1077.823,1077.675,1076.281,1119.106,1117.478,219740471,8242731100,39.655,0.036792
8,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/6/11,1117.478,1122.443,1118.706,1128.228,1122.199,222487419,8449039156,4.721,0.004225
9,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/6/17,1122.199,1126.13,1064.839,1129.685,1064.839,176428356,6757409316,-57.36,-0.051114
10,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/6/18,1064.839,1052.067,993.174,1053.138,1000.277,163065095,5827721367,-64.562,-0.060631
11,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/6/21,1000.277,991.957,976.414,1043.156,1040.802,157479764,5604269447,40.525,0.040514
12,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/6/22,1040.802,1037.039,1033.647,1057.365,1034.995,142716206,5067480292,-5.807,-0.005579
13,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/6/23,1034.995,1026.865,1023.737,1056.348,1047.337,125735943,4608672512,12.342,0.011925
14,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/6/24,1047.337,1046.759,1041.539,1059.754,1050.601,106913294,3904947869,3.264,0.003116
15,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/6/25,1050.601,1046.212,999.163,1046.212,1016.283,123729834,4515664637,-34.318,-0.032665
16,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/6/28,1016.283,1009.223,984.216,1014.413,987.827,92067332,3463552184,-28.456,-0.028
17,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/6/29,987.827,985.572,912.54,992.227,913.309,149779969,5293896897,-74.518,-0.075436
18,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/6/30,913.309,898.291,881.36,921.81,919.314,122366104,3852158586,6.005,0.006575
19,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/7/1,919.314,914.395,882.19,921.214,882.19,104957291,3663773722,-37.124,-0.040382
20,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/7/2,882.19,878.951,832.623,885.338,873.12,128883350,4212661774,-9.07,-0.010281
21,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/7/5,873.12,857.369,842.733,870.863,862.268,91586433,2851736007,-10.852,-0.012429
22,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/7/6,862.268,859.258,857.797,898.445,893.718,116523157,3751055713,31.45,0.036474
23,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/7/7,893.718,896.532,890.336,908.549,908.549,104616296,3342473673,14.831,0.016595
24,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/7/8,908.549,911.997,887.027,914.296,905.509,109808788,3780698945,-3.04,-0.003346
25,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/7/9,905.509,903.496,896.886,936.53,932.147,145146033,4743256781,26.638,0.029418
26,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/7/12,932.147,931.535,924.058,941.071,930.173,126361753,4188147302,-1.974,-0.002118
27,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/7/13,930.173,924.948,906.304,936.644,931.08,146865741,4744135623,0.907,0.000975
28,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/7/14,931.08,929.749,916.074,937.932,922.362,142358618,4648080329,-8.718,-0.009363
29,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/7/15,922.362,920.046,892.557,930.555,892.557,117588081,3960490864,-29.805,-0.032314
30,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/7/16,892.557,885.067,869.022,895.056,892.298,100931228,3264221675,-0.259,-0.00029
31,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/7/19,892.298,881.656,878.065,910.176,908.049,93880257,2992584134,15.751,0.017652
32,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/7/20,908.049,909.543,909.543,937.545,937.017,136580867,4559580869,28.968,0.031901
33,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/7/21,937.017,940.097,938.16,959.038,941.25,166574558,5960654023,4.233,0.004518
34,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/7/22,941.25,938.218,932.019,950.209,950.209,132660271,4356669335,8.959,0.009518
35,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/7/23,950.209,951.84,948.126,964.743,960.588,172125133,5339086418,10.379,0.010923
36,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/7/26,960.588,962.76,954.759,966.732,966.154,147603566,4626044945,5.566,0.005794
37,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/7/27,966.154,963.544,955.731,968.04,957.967,136182130,4574086800,-8.187,-0.008474
38,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/7/28,957.967,955.188,954.521,972.534,972.534,156618268,5187227527,14.567,0.015206
39,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/7/29,972.534,974.295,965.606,982.015,975.362,179419309,5897853304,2.828,0.002908
40,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/7/30,975.362,971.663,955.918,971.663,968.431,145848678,5049473242,-6.931,-0.007106
41,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/8/2,968.431,968.45,968.45,994.228,994.228,181036429,6104407789,25.797,0.026638
42,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/8/3,994.228,995.195,975.645,996.263,975.645,175705877,5951414562,-18.583,-0.018691
43,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/8/4,975.645,971.407,955.93,978.014,978.014,144616538,4758297321,2.369,0.002428
44,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/8/5,978.014,980.27,978.333,998.101,987.351,177039972,6033987121,9.337,0.009547
45,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/8/6,987.351,987.967,985.63,1011.39,1011.39,189906135,6225316746,24.039,0.024347
46,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/8/9,1011.39,1013.245,1013.245,1032.339,1032.339,209199502,6918898501,20.949,0.020713
47,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/8/10,1032.339,1031.978,993.992,1034.332,993.992,217707159,7106822601,-38.347,-0.037146
48,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/8/11,993.992,991.278,990.94,1006.448,1004.637,161507822,5180189727,10.645,0.010709
49,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/8/12,1004.637,994.052,987.978,1007.576,991.777,168918923,5316055442,-12.86,-0.012801
50,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/8/13,991.777,992.626,986.623,1007.52,1007.206,147179842,4831450139,15.429,0.015557
51,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/8/16,1007.206,1007.498,1005.052,1031.052,1030.217,188040007,6199923329,23.011,0.022846
52,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/8/17,1030.217,1031.075,1023.079,1036.821,1033.581,180077710,6092952254,3.364,0.003265
53,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/8/18,1033.581,1033.707,1018.496,1035.611,1026.722,164350147,5721278603,-6.859,-0.006636
54,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/8/19,1026.722,1026.983,1021.704,1033.248,1025.526,162453428,5547407031,-1.196,-0.001165
55,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/8/20,1025.526,1021.458,993.56,1022.448,995.944,187022476,6597771542,-29.582,-0.028846
56,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/8/23,995.944,994.938,991.518,1001.183,995.613,145601446,5064149925,-0.331,-0.000332
57,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/8/24,995.613,993.576,987.224,1007.76,1004.985,136505173,4942148654,9.372,0.009413
58,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/8/25,1004.985,1000.269,976.555,1002.329,976.878,150134272,5247658106,-28.107,-0.027968
59,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/8/26,976.878,978.598,973.002,984.868,980.63,128806654,4668329057,3.752,0.003841
60,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/8/27,980.63,978.514,975.72,1000.861,999.456,121624294,4490466099,18.826,0.019198
61,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/8/30,999.456,1002.987,1002.987,1025.153,1024.928,164541225,5997851095,25.472,0.025486
62,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/8/31,1024.928,1020.747,1015.133,1029.802,1025.57,153469989,5742617797,0.642,0.000626
63,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/9/1,1025.57,1025.678,987.588,1029.805,995.586,186436260,6805223639,-29.984,-0.029236
64,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/9/2,995.586,1001.597,996.524,1018.275,1014.922,163085743,5905102094,19.336,0.019422
65,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/9/3,1014.922,1017.637,1017.51,1045.213,1036.703,228936521,8448724536,21.781,0.021461
66,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/9/6,1036.703,1039.464,1007.426,1043.24,1010.764,181308084,6466212157,-25.939,-0.025021
67,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/9/7,1010.764,1010.115,1007.637,1022.622,1022.622,128451498,4586031318,11.858,0.011732
68,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/9/8,1022.622,1020.229,1016.836,1027.637,1026.327,140381869,4795945871,3.705,0.003623
69,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/9/9,1026.327,1029.106,1019.688,1040.67,1021.832,195980272,6404983520,-4.495,-0.00438
70,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/9/10,1021.832,1021.874,1016.191,1037.511,1034.939,181229017,5743872588,13.107,0.012827
71,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/9/13,1034.939,1034.39,1033.254,1045.39,1042.482,166788999,5527660293,7.543,0.007288
72,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/9/14,1042.482,1044.302,1028.769,1046.132,1031.219,159023168,5554204870,-11.263,-0.010804
73,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/9/15,1031.219,1029.52,987.049,1030.021,990.103,181827387,6238212551,-41.116,-0.039871
74,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/9/16,990.103,989.488,964.528,994.954,972.602,144205821,4843029701,-17.501,-0.017676
75,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/9/17,972.602,976.071,967.555,981.728,972.229,96784058,3271601193,-0.373,-0.000384
76,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/9/20,972.229,972.445,947.414,975.262,949.195,92365876,3136271246,-23.034,-0.023692
77,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/9/21,949.195,952.072,930.248,953.834,934.461,83585859,2664430096,-14.734,-0.015523
78,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/9/27,934.461,936.213,930.865,951.837,950.671,89293664,2896534003,16.21,0.017347
79,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/9/28,950.671,949.631,939.631,949.889,942.049,93943391,2943710101,-8.622,-0.009069
80,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/9/29,942.049,941.268,924.415,944.174,926.758,83173535,2805263882,-15.291,-0.016232
81,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/9/30,926.758,923.825,921.357,942.539,942.539,69973738,2252413165,15.781,0.017028
82,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/10/8,942.539,946.469,945.618,963.18,959.863,108396014,3415850316,17.324,0.01838
83,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/10/11,959.863,960.913,941.912,961.173,947.11,144687007,4702486651,-12.753,-0.013286
84,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/10/12,947.11,946.626,945.011,959.976,951.79,124019209,3915278784,4.68,0.004941
85,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/10/13,951.79,951.326,940.645,962.738,962.738,133051664,4123690416,10.948,0.011503
86,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/10/14,962.738,963.286,956.864,975.907,958.495,139640543,4577347139,-4.243,-0.004407
87,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/10/15,958.495,954.117,937.12,957.769,944.254,135249842,4343111216,-14.241,-0.014858
88,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/10/18,944.254,941.874,913.816,941.874,932.359,132787576,4243012677,-11.895,-0.012597
89,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/10/19,932.359,932.826,932.323,1005.591,995.922,233908628,7752443015,63.563,0.068174
90,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/10/20,995.922,986.654,986.033,1024.579,1004.542,263813269,8597749281,8.62,0.008655
91,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/10/21,1004.542,1001.682,983.656,1001.682,991.842,156912293,4853646889,-12.7,-0.012643
92,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/10/22,991.842,991.135,991.135,1023.703,1013.448,176574884,5596426131,21.606,0.021784
93,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/10/25,1013.448,1018.084,1018.084,1043.087,1039.054,206368912,6717409625,25.606,0.025266
94,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/10/26,1039.054,1041.532,1020.942,1041.914,1036.007,183841353,5899693751,-3.047,-0.002932
95,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/10/27,1036.007,1034.864,1028.696,1048.556,1030.593,170168933,5627187689,-5.414,-0.005226
96,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/10/28,1030.593,1024.697,1023.492,1038.622,1038.622,159247719,5363520705,8.029,0.007791
97,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/10/29,1038.622,1042.401,1042.401,1069.754,1064.522,223551840,7678783751,25.9,0.024937
98,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/11/1,1064.522,1071.628,1071.628,1113.623,1107.523,281789963,9836595786,43.001,0.040395
99,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/11/2,1107.523,1108.093,1074.58,1108.093,1075.151,245453180,8659221612,-32.372,-0.029229
100,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/11/3,1075.151,1063.2,1040.548,1063.2,1040.621,162049194,5454222839,-34.53,-0.032116
101,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/11/4,1040.621,1041.419,1037.239,1057.714,1057.714,133879038,4549208821,17.093,0.016426
102,399006.ZICN,399006,深圳证券交易所,创业板指,XSHE,2010/11/5,1057.714,1067.873,1058.259,1072.219,1072.219,139702443,4795822280,14.505,0.013714
