,indexID,ticker,porgFullName,secShortName,exchangeCD,tradeDate,preCloseIndex,openIndex,lowestIndex,highestIndex,closeIndex,turnoverVol,turnoverValue,CHG,CHGPct
0,000015.ZICN,15,上海证券交易所,上证红利,XSHG,2005/1/4,1000,997.273,977.55,997.273,981.182,113349900,630699524,-18.818,-0.018818
1,000015.ZICN,15,上海证券交易所,上证红利,XSHG,2005/1/5,981.182,980.482,974.979,991.428,985.459,90414400,512585913,4.277,0.004359
2,000015.ZICN,15,上海证券交易所,上证红利,XSHG,2005/1/6,985.459,986.23,971.733,986.741,976.057,94220800,581597675,-9.402,-0.009541
3,000015.ZICN,15,上海证券交易所,上证红利,XSHG,2005/1/7,976.057,975.656,972.617,989.122,982.918,92898600,580349953,6.861,0.007029
4,000015.ZICN,15,上海证券交易所,上证红利,XSHG,2005/1/10,982.918,981.195,976.521,989.252,988.166,75806700,470255277,5.248,0.005339
5,000015.ZICN,15,上海证券交易所,上证红利,XSHG,2005/1/11,988.166,988.161,985.819,994.393,989.988,73636900,460814402,1.822,0.001844
6,000015.ZICN,15,上海证券交易所,上证红利,XSHG,2005/1/12,989.988,990.374,982.924,990.374,988.353,62637200,367557425,-1.635,-0.001652
7,000015.ZICN,15,上海证券交易所,上证红利,XSHG,2005/1/13,988.353,988.171,983.974,991.477,988.504,74406300,452453241,0.151,0.000153
8,000015.ZICN,15,上海证券交易所,上证红利,XSHG,2005/1/14,988.504,988.899,981.441,1000.838,983.534,88100300,518093987,-4.97,-0.005028
9,000015.ZICN,15,上海证券交易所,上证红利,XSHG,2005/1/17,983.534,976.16,958.298,977.924,959.567,112948100,686559020,-23.967,-0.024368
10,000015.ZICN,15,上海证券交易所,上证红利,XSHG,2005/1/18,959.567,958.512,950.797,966.086,964.722,124311000,650845644,5.155,0.005372
11,000015.ZICN,15,上海证券交易所,上证红利,XSHG,2005/1/19,964.722,963.995,956.66,964.035,959.127,87902800,475270718,-5.595,-0.0058
12,000015.ZICN,15,上海证券交易所,上证红利,XSHG,2005/1/20,959.127,954.306,947.172,957.813,952.423,119397700,655045910,-6.704,-0.00699
13,000015.ZICN,15,上海证券交易所,上证红利,XSHG,2005/1/21,952.423,950.689,946.753,982.588,980.389,203149600,1152699897,27.966,0.029363
14,000015.ZICN,15,上海证券交易所,上证红利,XSHG,2005/1/24,980.389,996.593,982.939,1002.735,995.501,198321400,1143463110,15.112,0.015414
15,000015.ZICN,15,上海证券交易所,上证红利,XSHG,2005/1/25,995.501,992.588,983.92,1000.958,1000.481,138691100,844967296,4.98,0.005003
16,000015.ZICN,15,上海证券交易所,上证红利,XSHG,2005/1/26,1000.481,999.074,990.41,1000.857,992.152,95040600,582024563,-8.329,-0.008325
17,000015.ZICN,15,上海证券交易所,上证红利,XSHG,2005/1/27,992.152,990.975,977.21,991.122,979.558,92201100,536949444,-12.594,-0.012694
18,000015.ZICN,15,上海证券交易所,上证红利,XSHG,2005/1/28,979.558,977.585,968.609,979.193,971.96,81745600,487033056,-7.598,-0.007757
19,000015.ZICN,15,上海证券交易所,上证红利,XSHG,2005/1/31,971.96,970.078,961.257,973.875,962.9,98125000,579592089,-9.06,-0.009321
20,000015.ZICN,15,上海证券交易所,上证红利,XSHG,2005/2/1,962.9,961.187,960.093,974.002,965.282,102358000,628711916,2.382,0.002474
21,000015.ZICN,15,上海证券交易所,上证红利,XSHG,2005/2/2,965.282,965.793,965.793,1015.793,1015.563,275948300,1650364149,50.281,0.052089
22,000015.ZICN,15,上海证券交易所,上证红利,XSHG,2005/2/3,1015.563,1015.58,1001.281,1027.789,1009.4,307775800,1900820400,-6.163,-0.006069
23,000015.ZICN,15,上海证券交易所,上证红利,XSHG,2005/2/4,1009.4,1007.228,1004.065,1037.341,1032.173,309292500,1901395289,22.773,0.022561
24,000015.ZICN,15,上海证券交易所,上证红利,XSHG,2005/2/16,1032.173,1038.294,1031.488,1049.453,1039.818,235186900,1442907777,7.645,0.007407
25,000015.ZICN,15,上海证券交易所,上证红利,XSHG,2005/2/17,1039.818,1040.276,1024.589,1040.276,1032.372,140762500,885688117,-7.446,-0.007161
26,000015.ZICN,15,上海证券交易所,上证红利,XSHG,2005/2/18,1032.372,1031.528,1016.666,1034.52,1016.994,132508900,809628326,-15.378,-0.014896
27,000015.ZICN,15,上海证券交易所,上证红利,XSHG,2005/2/21,1016.994,1016.928,1016.928,1037.754,1037.464,148049200,917209063,20.47,0.020128
28,000015.ZICN,15,上海证券交易所,上证红利,XSHG,2005/2/22,1037.464,1037.928,1034.233,1057.59,1054.066,278488600,1749618504,16.602,0.016002
29,000015.ZICN,15,上海证券交易所,上证红利,XSHG,2005/2/23,1054.066,1054.258,1043.291,1058.662,1052.909,307722800,1974103163,-1.157,-0.001098
30,000015.ZICN,15,上海证券交易所,上证红利,XSHG,2005/2/24,1052.909,1051.069,1040.309,1053.295,1052.304,269892000,1719058778,-0.605,-0.000575
31,000015.ZICN,15,上海证券交易所,上证红利,XSHG,2005/2/25,1052.304,1054.591,1051.735,1066.032,1052.356,301402400,1941654399,0.052,4.90E-05
32,000015.ZICN,15,上海证券交易所,上证红利,XSHG,2005/2/28,1052.356,1050.817,1038.491,1054.962,1044.448,213945000,1387079279,-7.908,-0.007515
33,000015.ZICN,15,上海证券交易所,上证红利,XSHG,2005/3/1,1044.448,1044.151,1035.728,1045.841,1038.291,151737900,1023882172,-6.157,-0.005895
34,000015.ZICN,15,上海证券交易所,上证红利,XSHG,2005/3/2,1038.291,1038.578,1018.766,1045.491,1019.315,258105600,1672757281,-18.976,-0.018276
35,000015.ZICN,15,上海证券交易所,上证红利,XSHG,2005/3/3,1019.315,1016.942,1012.808,1028.571,1027.63,154473600,934168741,8.315,0.008157
36,000015.ZICN,15,上海证券交易所,上证红利,XSHG,2005/3/4,1027.63,1027.91,1019.578,1030.513,1021.305,117984100,752791165,-6.325,-0.006155
37,000015.ZICN,15,上海证券交易所,上证红利,XSHG,2005/3/7,1021.305,1022.06,1019.208,1027.618,1025.32,132434900,848434496,4.015,0.003931
38,000015.ZICN,15,上海证券交易所,上证红利,XSHG,2005/3/8,1025.32,1028.455,1027.393,1042.455,1042.22,218434400,1440023650,16.9,0.016483
39,000015.ZICN,15,上海证券交易所,上证红利,XSHG,2005/3/9,1042.22,1044.418,1037.868,1049.306,1044.422,232138300,1580897493,2.202,0.002113
40,000015.ZICN,15,上海证券交易所,上证红利,XSHG,2005/3/10,1044.422,1044.324,1017.806,1044.663,1019.438,181266300,1223911413,-24.984,-0.023921
41,000015.ZICN,15,上海证券交易所,上证红利,XSHG,2005/3/11,1019.438,1017.636,1014.071,1024.898,1023.994,174788800,1191433301,4.556,0.004469
42,000015.ZICN,15,上海证券交易所,上证红利,XSHG,2005/3/14,1023.994,1024.122,1012.155,1039.044,1028.625,216040500,1587904490,4.631,0.004522
43,000015.ZICN,15,上海证券交易所,上证红利,XSHG,2005/3/15,1028.625,1028.53,1006.003,1029.404,1007.429,189880400,1316264502,-21.196,-0.020606
44,000015.ZICN,15,上海证券交易所,上证红利,XSHG,2005/3/16,1007.429,1005.814,992.192,1007.831,1000.251,157279400,1060092327,-7.178,-0.007125
45,000015.ZICN,15,上海证券交易所,上证红利,XSHG,2005/3/17,1000.251,1000.601,985.078,1000.601,986.174,140461300,936040772,-14.077,-0.014073
46,000015.ZICN,15,上海证券交易所,上证红利,XSHG,2005/3/18,986.174,985.726,974.276,988.769,975.696,152543000,985095822,-10.478,-0.010625
