,secID,ticker,endDate,NAV,publishDate,ACCUM_NAV,currencyCd,ADJUST_NAV,navChg,navChgPct,adjNavChgPct,partyID
0,162411.XSHE,162411,2011/9/29,1,2011/9/30,1,CNY,1,,,,27287
1,162411.XSHE,162411,2011/9/30,1,2011/10/11,1,CNY,1,0,0,0,27287
2,162411.XSHE,162411,2011/10/14,1.001,2011/10/18,1.001,CNY,1.001,0.001,0.1,0.1,27287
3,162411.XSHE,162411,2011/10/20,1.001,2011/10/22,1.001,CNY,1.001,0,0,0,27287
4,162411.XSHE,162411,2011/10/21,1.001,2011/10/25,1.001,CNY,1.001,0,0,0,27287
5,162411.XSHE,162411,2011/10/24,1.001,2011/10/26,1.001,CNY,1.001,0,0,0,27287
6,162411.XSHE,162411,2011/10/25,1.001,2011/10/27,1.001,CNY,1.001,0,0,0,27287
7,162411.XSHE,162411,2011/10/26,1.004,2011/10/28,1.004,CNY,1.004,0.003,0.2997,0.2997,27287
8,162411.XSHE,162411,2011/10/27,1.011,2011/10/29,1.011,CNY,1.011,0.007,0.6972,0.6972,27287
9,162411.XSHE,162411,2011/10/28,1.012,2011/11/1,1.012,CNY,1.012,0.001,0.0989,0.0989,27287
10,162411.XSHE,162411,2011/10/31,1.001,2011/11/2,1.001,CNY,1.001,-0.011,-1.087,-1.087,27287
11,162411.XSHE,162411,2011/11/1,0.993,2011/11/3,0.993,CNY,0.993,-0.008,-0.7992,-0.7992,27287
12,162411.XSHE,162411,2011/11/2,1.001,2011/11/4,1.001,CNY,1.001,0.008,0.8056,0.8056,27287
13,162411.XSHE,162411,2011/11/3,1.003,2011/11/5,1.003,CNY,1.003,0.002,0.1998,0.1998,27287
14,162411.XSHE,162411,2011/11/4,1.005,2011/11/8,1.005,CNY,1.005,0.002,0.1994,0.1994,27287
15,162411.XSHE,162411,2011/11/7,1.006,2011/11/9,1.006,CNY,1.006,0.001,0.0995,0.0995,27287
16,162411.XSHE,162411,2011/11/8,1.009,2011/11/10,1.009,CNY,1.009,0.003,0.2982,0.2982,27287
17,162411.XSHE,162411,2011/11/9,0.993,2011/11/11,0.993,CNY,0.993,-0.016,-1.5857,-1.5857,27287
18,162411.XSHE,162411,2011/11/10,0.999,2011/11/12,0.999,CNY,0.999,0.006,0.6042,0.6042,27287
19,162411.XSHE,162411,2011/11/11,1.005,2011/11/15,1.005,CNY,1.005,0.006,0.6006,0.6006,27287
20,162411.XSHE,162411,2011/11/14,0.999,2011/11/16,0.999,CNY,0.999,-0.006,-0.597,-0.597,27287
21,162411.XSHE,162411,2011/11/15,1.003,2011/11/17,1.003,CNY,1.003,0.004,0.4004,0.4004,27287
22,162411.XSHE,162411,2011/11/16,0.999,2011/11/18,0.999,CNY,0.999,-0.004,-0.3988,-0.3988,27287
23,162411.XSHE,162411,2011/11/17,0.988,2011/11/19,0.988,CNY,0.988,-0.011,-1.1011,-1.1011,27287
24,162411.XSHE,162411,2011/11/18,0.987,2011/11/22,0.987,CNY,0.987,-0.001,-0.1012,-0.1012,27287
25,162411.XSHE,162411,2011/11/21,0.981,2011/11/23,0.981,CNY,0.981,-0.006,-0.6079,-0.6079,27287
26,162411.XSHE,162411,2011/11/22,0.979,2011/11/24,0.979,CNY,0.979,-0.002,-0.2039,-0.2039,27287
27,162411.XSHE,162411,2011/11/23,0.968,2011/11/25,0.968,CNY,0.968,-0.011,-1.1236,-1.1236,27287
28,162411.XSHE,162411,2011/11/24,0.968,2011/11/26,0.968,CNY,0.968,0,0,0,27287
29,162411.XSHE,162411,2011/11/25,0.963,2011/11/29,0.963,CNY,0.963,-0.005,-0.5165,-0.5165,27287
30,162411.XSHE,162411,2011/11/28,0.98,2011/11/30,0.98,CNY,0.98,0.017,1.7653,1.7653,27287
31,162411.XSHE,162411,2011/11/29,0.985,2011/12/1,0.985,CNY,0.985,0.005,0.5102,0.5102,27287
32,162411.XSHE,162411,2011/11/30,1.005,2011/12/2,1.005,CNY,1.005,0.02,2.0305,2.0305,27287
33,162411.XSHE,162411,2011/12/1,1.002,2011/12/3,1.002,CNY,1.002,-0.003,-0.2985,-0.2985,27287
34,162411.XSHE,162411,2011/12/2,1.005,2011/12/6,1.005,CNY,1.005,0.003,0.2994,0.2994,27287
35,162411.XSHE,162411,2011/12/5,1.011,2011/12/7,1.011,CNY,1.011,0.006,0.597,0.597,27287
36,162411.XSHE,162411,2011/12/6,1.013,2011/12/8,1.013,CNY,1.013,0.002,0.1978,0.1978,27287
37,162411.XSHE,162411,2011/12/7,1.007,2011/12/9,1.007,CNY,1.007,-0.006,-0.5923,-0.5923,27287
38,162411.XSHE,162411,2011/12/8,0.987,2011/12/10,0.987,CNY,0.987,-0.02,-1.9861,-1.9861,27287
39,162411.XSHE,162411,2011/12/9,1.001,2011/12/13,1.001,CNY,1.001,0.014,1.4184,1.4184,27287
40,162411.XSHE,162411,2011/12/12,0.985,2011/12/14,0.985,CNY,0.985,-0.016,-1.5984,-1.5984,27287
41,162411.XSHE,162411,2011/12/13,0.973,2011/12/15,0.973,CNY,0.973,-0.012,-1.2183,-1.2183,27287
42,162411.XSHE,162411,2011/12/14,0.955,2011/12/16,0.955,CNY,0.955,-0.018,-1.8499,-1.8499,27287
43,162411.XSHE,162411,2011/12/15,0.955,2011/12/17,0.955,CNY,0.955,0,0,0,27287
44,162411.XSHE,162411,2011/12/16,0.963,2011/12/20,0.963,CNY,0.963,0.008,0.8377,0.8377,27287
45,162411.XSHE,162411,2011/12/19,0.949,2011/12/21,0.949,CNY,0.949,-0.014,-1.4538,-1.4538,27287
46,162411.XSHE,162411,2011/12/20,0.971,2011/12/22,0.971,CNY,0.971,0.022,2.3182,2.3182,27287
47,162411.XSHE,162411,2011/12/21,0.976,2011/12/23,0.976,CNY,0.976,0.005,0.5149,0.5149,27287
48,162411.XSHE,162411,2011/12/22,0.982,2011/12/24,0.982,CNY,0.982,0.006,0.6148,0.6148,27287
49,162411.XSHE,162411,2011/12/23,0.982,2011/12/27,0.982,CNY,0.982,0,0,0,27287
50,162411.XSHE,162411,2011/12/26,0.982,2011/12/28,0.982,CNY,0.982,0,0,0,27287
51,162411.XSHE,162411,2011/12/27,0.986,2011/12/29,0.986,CNY,0.986,0.004,0.4073,0.4073,27287
52,162411.XSHE,162411,2011/12/28,0.973,2011/12/30,0.973,CNY,0.973,-0.013,-1.3185,-1.3185,27287
53,162411.XSHE,162411,2011/12/29,0.98,2011/12/31,0.98,CNY,0.98,0.007,0.7194,0.7194,27287
54,162411.XSHE,162411,2011/12/30,0.978,2012/1/5,0.978,CNY,0.978,-0.002,-0.2041,-0.2041,27287
55,162411.XSHE,162411,2011/12/31,0.978,2012/1/5,0.978,CNY,0.978,0,0,0,27287
56,162411.XSHE,162411,2012/1/4,1.001,2012/1/6,1.001,CNY,1.001,0.023,2.3517,2.3517,27287
57,162411.XSHE,162411,2012/1/5,1.001,2012/1/7,1.001,CNY,1.001,0,0,0,27287
58,162411.XSHE,162411,2012/1/6,0.996,2012/1/10,0.996,CNY,0.996,-0.005,-0.4995,-0.4995,27287
59,162411.XSHE,162411,2012/1/9,0.993,2012/1/11,0.993,CNY,0.993,-0.003,-0.3012,-0.3012,27287
60,162411.XSHE,162411,2012/1/10,0.999,2012/1/12,0.999,CNY,0.999,0.006,0.6042,0.6042,27287
61,162411.XSHE,162411,2012/1/11,0.986,2012/1/13,0.986,CNY,0.986,-0.013,-1.3013,-1.3013,27287
62,162411.XSHE,162411,2012/1/12,0.981,2012/1/14,0.981,CNY,0.981,-0.005,-0.5071,-0.5071,27287
63,162411.XSHE,162411,2012/1/13,0.969,2012/1/17,0.969,CNY,0.969,-0.012,-1.2232,-1.2232,27287
64,162411.XSHE,162411,2012/1/16,0.97,2012/1/18,0.97,CNY,0.97,0.001,0.1032,0.1032,27287
65,162411.XSHE,162411,2012/1/17,0.975,2012/1/19,0.975,CNY,0.975,0.005,0.5155,0.5155,27287
66,162411.XSHE,162411,2012/1/18,0.991,2012/1/20,0.991,CNY,0.991,0.016,1.641,1.641,27287
67,162411.XSHE,162411,2012/1/19,0.985,2012/1/21,0.985,CNY,0.985,-0.006,-0.6054,-0.6054,27287
