date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2020-06-05,1.38,1.38,1.38,1.37,7871645.5,0.01,0.73,1.362,1.335,1.345,7916713.1,7905356.65,8389980.03
2020-06-04,1.39,1.39,1.37,1.37,7539961.5,0.0,0.0,1.346,1.328,1.344,8276496.6,8782670.9,8369331.5
2020-06-03,1.37,1.37,1.37,1.36,10567597.0,0.02,1.48,1.334,1.328,1.343,8221250.7,9053407.45,8265551.13
2020-06-02,1.34,1.35,1.35,1.34,6086511.5,0.01,0.75,1.322,1.328,1.343,7333628.0,8674949.15,8126674.98
2020-06-01,1.33,1.34,1.34,1.33,7517850.0,0.04,3.08,1.316,1.331,1.345,7562292.2,9345286.9,7928960.44
2020-05-29,1.29,1.31,1.3,1.29,9670563.0,-0.01,-0.76,1.308,1.331,1.347,7894000.2,9088064.35,7803599.34
2020-05-28,1.32,1.33,1.31,1.3,7263732.0,0.0,0.0,1.31,1.335,1.351,9288845.2,8549669.55,7618903.84
2020-05-27,1.33,1.33,1.31,1.31,6129483.5,-0.01,-0.76,1.322,1.338,1.353,9885564.2,8547842.6,7435934.21
2020-05-26,1.31,1.33,1.32,1.31,7229832.5,0.02,1.54,1.334,1.343,1.355,10016270.3,8705845.85,7423208.74
2020-05-25,1.3,1.31,1.3,1.29,9176390.0,-0.01,-0.76,1.346,1.347,1.356,11128281.6,8985905.9,7335868.69
2020-05-22,1.34,1.34,1.31,1.3,16644788.0,-0.06,-4.38,1.354,1.355,1.358,10282128.5,8874603.4,7165774.31
2020-05-21,1.38,1.38,1.37,1.36,10247327.0,0.0,0.0,1.36,1.36,1.359,7810493.9,7955992.1,6710335.61
2020-05-20,1.38,1.38,1.37,1.37,6783014.0,-0.01,-0.72,1.354,1.358,1.359,7210121.0,7477694.8,6385617.34
2020-05-19,1.37,1.38,1.38,1.37,12789889.0,0.04,2.98,1.352,1.357,1.358,7395421.4,7578400.8,6328630.06
2020-05-18,1.34,1.35,1.34,1.34,4945624.5,0.0,0.0,1.348,1.359,1.356,6843530.2,6512633.98,5947947.76
2020-05-15,1.34,1.35,1.34,1.33,4286615.0,0.0,0.0,1.356,1.363,1.357,7467078.3,6519134.33,6026967.21
2020-05-14,1.35,1.35,1.34,1.34,7245462.5,-0.02,-1.47,1.36,1.366,1.358,8101490.3,6688138.13,6156373.86
2020-05-13,1.35,1.36,1.36,1.35,7709516.0,0.0,0.0,1.362,1.368,1.358,7745268.6,6324025.83,6055503.46
2020-05-12,1.37,1.37,1.36,1.35,10030433.0,-0.02,-1.45,1.362,1.366,1.357,7761380.2,6140571.63,6014941.51
2020-05-11,1.37,1.39,1.38,1.37,8063365.0,0.02,1.47,1.37,1.364,1.357,6181737.75,5685831.48,5938567.81
2020-05-08,1.36,1.36,1.36,1.35,7458675.0,0.01,0.74,1.37,1.36,1.354,5571190.35,5456945.23,6043744.61
2020-05-07,1.36,1.36,1.35,1.35,5464354.0,-0.01,-0.73,1.372,1.358,1.353,5274785.95,5464679.13,6012998.94
2020-05-06,1.36,1.36,1.36,1.35,7790074.0,-0.04,-2.86,1.374,1.359,1.35,4902783.05,5293539.88,6104858.29
2020-04-30,1.39,1.4,1.4,1.38,2132220.75,0.02,1.45,1.37,1.359,1.347,4519763.05,5078859.33,6093666.01
2020-04-29,1.39,1.39,1.38,1.37,5010628.0,0.01,0.73,1.358,1.353,1.342,5189925.2,5383261.55,6422373.03
2020-04-28,1.36,1.38,1.37,1.36,5976653.0,0.01,0.73,1.35,1.35,1.338,5342700.1,5534800.1,6540243.8
2020-04-27,1.35,1.36,1.36,1.35,3604339.5,0.02,1.49,1.344,1.349,1.335,5654572.3,5624609.6,6741623.55
2020-04-24,1.33,1.34,1.34,1.33,5874974.0,0.0,0.0,1.344,1.347,1.333,5684296.7,5786981.1,7034973.18
2020-04-23,1.35,1.35,1.34,1.34,5483031.5,0.0,0.0,1.348,1.348,1.331,5637955.6,5889311.4,7376719.98
