0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,000300.ZICN,300,XSHG,2002,1,4,2002/1/4,,,,,1316.46,,,,,,
1,000300.ZICN,300,XSHG,2002,1,7,2002/1/7,1316.46,,,,1302.08,,,-14.38,-0.010923,,
2,000300.ZICN,300,XSHG,2002,1,8,2002/1/8,1302.08,,,,1292.71,,,-9.37,-0.007196,,
3,000300.ZICN,300,XSHG,2002,1,9,2002/1/9,1292.71,,,,1272.65,,,-20.06,-0.015518,,
4,000300.ZICN,300,XSHG,2002,1,10,2002/1/10,1272.65,,,,1281.26,,,8.61,0.006765,,
5,000300.ZICN,300,XSHG,2002,1,11,2002/1/11,1281.26,,,,1249.81,,,-31.45,-0.024546,,
6,000300.ZICN,300,XSHG,2002,1,14,2002/1/14,1249.81,,,,1205.15,,,-44.66,-0.035733,,
7,000300.ZICN,300,XSHG,2002,1,15,2002/1/15,1205.15,,,,1186.43,,,-18.72,-0.015533,,
8,000300.ZICN,300,XSHG,2002,1,16,2002/1/16,1186.43,,,,1201.88,,,15.45,0.013022,,
9,000300.ZICN,300,XSHG,2002,1,17,2002/1/17,1201.88,,,,1152.15,,,-49.73,-0.041377,,
10,000300.ZICN,300,XSHG,2002,1,18,2002/1/18,1152.15,,,,1149.48,,,-2.67,-0.002317,,
11,FALSE,300,XSHG,2002,1,21,2002/1/21,1149.48,,,,1108.61,,,-40.87,-0.035555,,
12,000300.ZICN,300,XSHG,2002,1,22,2002/1/22,1108.61,,,,1109.99,,,1.38,0.001245,,
13,000300.ZICN,300,XSHG,2002,1,23,2002/1/23,1109.99,,,,1183.15,,,73.16,0.065911,,
14,000300.ZICN,300,XSHG,2002,1,24,2002/1/24,1183.15,,,,1189.58,,,6.43,0.005435,,
15,000300.ZICN,300,XSHG,2002,1,25,2002/1/25,1189.58,,,,1189.43,,,-0.15,-0.000126,,
16,000300.ZICN,300,XSHG,2002,1,28,2002/1/28,1189.43,,,,1112.84,,,-76.59,-0.064392,,
17,000300.ZICN,300,XSHG,2002,1,29,2002/1/29,1112.84,,,,1140.38,,,27.54,0.024747,,
18,000300.ZICN,300,XSHG,2002,1,30,2002/1/30,1140.38,,,,1145.86,,,5.48,0.004805,,
19,000300.ZICN,300,XSHG,2002,1,31,2002/1/31,1145.86,,,,1221.76,,,75.9,0.066238,,
20,000300.ZICN,300,XSHG,2002,2,1,2002/2/1,1221.76,,,,1215.74,,,-6.02,-0.004927,,
21,000300.ZICN,300,XSHG,2002,2,4,2002/2/4,1215.74,,,,1236.97,,,21.23,0.017463,,
22,000300.ZICN,300,XSHG,2002,2,5,2002/2/5,1236.97,,,,1246.84,,,9.87,0.007979,,
23,000300.ZICN,300,XSHG,2002,2,6,2002/2/6,1246.84,,,,1216.79,,,-30.05,-0.024101,,
24,000300.ZICN,300,XSHG,2002,2,7,2002/2/7,1216.79,,,,1241.02,,,24.23,0.019913,,
25,000300.ZICN,300,XSHG,2002,2,8,2002/2/8,1241.02,,,,1235.09,,,-5.93,-0.004778,,
26,000300.ZICN,300,XSHG,2002,2,25,2002/2/25,1235.09,,,,1254.61,,,19.52,0.015805,,
27,000300.ZICN,300,XSHG,2002,2,26,2002/2/26,1254.61,,,,1253.12,,,-1.49,-0.001188,,
28,000300.ZICN,300,XSHG,2002,2,27,2002/2/27,1253.12,,,,1256,,,2.88,0.002298,,
29,000300.ZICN,300,XSHG,2002,2,28,2002/2/28,1256,,,,1244.6,,,-11.4,-0.009076,,
30,000300.ZICN,300,XSHG,2002,3,1,2002/3/1,1244.6,,,,1227.23,,,-17.37,-0.013956,,
31,000300.ZICN,300,XSHG,2002,3,4,2002/3/4,1227.23,,,,1245.87,,,18.64,0.015189,,
32,000300.ZICN,300,XSHG,2002,3,5,2002/3/5,1245.87,,,,1275.61,,,29.74,0.023871,,
33,000300.ZICN,300,XSHG,2002,3,6,2002/3/6,1275.61,,,,1288.44,,,12.83,0.010058,,
34,000300.ZICN,300,XSHG,2002,3,7,2002/3/7,1288.44,,,,1328.39,,,39.95,0.031006,,
35,000300.ZICN,300,XSHG,2002,3,8,2002/3/8,1328.39,,,,1351.85,,,23.46,0.01766,,
36,000300.ZICN,300,XSHG,2002,3,11,2002/3/11,1351.85,,,,1377.04,,,25.19,0.018634,,
37,000300.ZICN,300,XSHG,2002,3,12,2002/3/12,1377.04,,,,1362.4,,,-14.64,-0.010631,,
38,000300.ZICN,300,XSHG,2002,3,13,2002/3/13,1362.4,,,,1343.14,,,-19.26,-0.014137,,
39,000300.ZICN,300,XSHG,2002,3,14,2002/3/14,1343.14,,,,1376.33,,,33.19,0.024711,,
40,000300.ZICN,300,XSHG,2002,3,15,2002/3/15,1376.33,,,,1338.7,,,-37.63,-0.027341,,
41,000300.ZICN,300,XSHG,2002,3,18,2002/3/18,1338.7,,,,1341.91,,,3.21,0.002398,,
42,000300.ZICN,300,XSHG,2002,3,19,2002/3/19,1341.91,,,,1368.38,,,26.47,0.019726,,
43,000300.ZICN,300,XSHG,2002,3,20,2002/3/20,1368.38,,,,1382.42,,,14.04,0.01026,,
44,000300.ZICN,300,XSHG,2002,3,21,2002/3/21,1382.42,,,,1385.79,,,3.37,0.002438,,
45,000300.ZICN,300,XSHG,2002,3,22,2002/3/22,1385.79,,,,1369.9,,,-15.89,-0.011466,,
46,000300.ZICN,300,XSHG,2002,3,25,2002/3/25,1369.9,,,,1373.01,,,3.11,0.00227,,
47,000300.ZICN,300,XSHG,2002,3,26,2002/3/26,1373.01,,,,1350.01,,,-23,-0.016752,,
48,000300.ZICN,300,XSHG,2002,3,27,2002/3/27,1350.01,,,,1354.1,,,4.09,0.00303,,
49,000300.ZICN,300,XSHG,2002,3,28,2002/3/28,1354.1,,,,1352.53,,,-1.57,-0.001159,,
