,indexID,ticker,porgFullName,secShortName,exchangeCD,tradeDate,preCloseIndex,openIndex,lowestIndex,highestIndex,closeIndex,turnoverVol,turnoverValue,CHG,CHGPct
0,000016.ZICN,000016,上海证券交易所,上证50,XSHG,2004-01-02,1000.0,996.996,993.892,1021.568,1011.347,806465200,5742758967,11.347,0.011347
1,000016.ZICN,000016,上海证券交易所,上证50,XSHG,2004-01-05,1011.347,1008.279,1008.279,1060.898,1060.801,1446818000,10706463941,49.454,0.048899
2,000016.ZICN,000016,上海证券交易所,上证50,XSHG,2004-01-06,1060.801,1059.141,1059.095,1086.694,1075.656,1699133400,12416997345,14.855,0.014004
3,000016.ZICN,000016,上海证券交易所,上证50,XSHG,2004-01-07,1075.656,1075.562,1070.98,1095.841,1086.303,1372941900,10352534788,10.647,0.009898
4,000016.ZICN,000016,上海证券交易所,上证50,XSHG,2004-01-08,1086.303,1087.68,1082.509,1108.291,1102.662,1078042700,8188926758,16.359,0.015059
5,000016.ZICN,000016,上海证券交易所,上证50,XSHG,2004-01-09,1102.662,1105.77,1079.072,1115.461,1081.785,1346744200,10548445392,-20.877,-0.018933
6,000016.ZICN,000016,上海证券交易所,上证50,XSHG,2004-01-12,1081.785,1081.807,1079.773,1117.505,1116.799,1023394300,8376568721,35.014,0.032367
7,000016.ZICN,000016,上海证券交易所,上证50,XSHG,2004-01-13,1116.799,1120.149,1089.633,1123.656,1102.341,983718900,7989281144,-14.458,-0.012946
8,000016.ZICN,000016,上海证券交易所,上证50,XSHG,2004-01-14,1102.341,1101.445,1076.869,1101.666,1079.72,712049900,5343577668,-22.621,-0.020521
9,000016.ZICN,000016,上海证券交易所,上证50,XSHG,2004-01-15,1079.72,1078.533,1070.727,1088.67,1073.977,617920700,4755875010,-5.743,-0.005319
10,000016.ZICN,000016,上海证券交易所,上证50,XSHG,2004-01-16,1073.977,1076.636,1067.847,1087.817,1083.652,717416700,5520318130,9.675,0.009009
11,000016.ZICN,000016,上海证券交易所,上证50,XSHG,2004-01-29,1083.652,1086.657,1084.455,1101.027,1100.604,579123000,4529581998,16.952,0.015643
12,000016.ZICN,000016,上海证券交易所,上证50,XSHG,2004-01-30,1100.604,1102.17,1066.445,1103.699,1067.553,776111800,5943973870,-33.051,-0.03003
13,000016.ZICN,000016,上海证券交易所,上证50,XSHG,2004-02-02,1067.553,1107.49,1069.967,1116.314,1091.729,1543292200,11668205473,24.176,0.022646
